User ID,User Public Address,Number Auctions,Total Spent,Total Cashback (95%),Total Gas
67674d48-1937-4378-aeb4-e287c5a8b1c4,0x180669310d089fafcbee40479ee719752d680d4e,17,1691.77,1607.1815,402.94
6ab1a06d-3b5b-441f-932c-94c6682465ac,0xbf7272e13b62b5d63ea6b5f113167e33c4f1ba8c,18,22957.2,21809.34,0.0
6b91f900-37c7-48f2-9d7a-9e49ef7318e4,0x3aae36cd7df18fc4144574fca23da5e5337fd352,62,7214.63,6853.898499999999,2630.13
6eb93f84-47f9-45f7-9647-bd67c7449b7e,0xd89e51c6f47bc23bbe3e1baa839983232e8d96c7,2,192.32,182.704,41.74
71193bf4-1244-4596-a780-e81056f16aa2,0xd5972eb267792c21bb76728301a8b0eaa0a75b26,5,343.51,326.3345,438.49
76c73df5-664a-4451-8e9b-c870545ff371,0xfb4c65f1dd92ae419f8d52e0ed3d94775476b900,81,8250.90000000001,7838.35500000001,959.9913070836
79e10fcb-af66-489c-b0d6-c1c382ae48e5,0xc8f2ea1b6d4c3ff3e9c81c2b8935d2f7564ad45f,7,1062.0,1008.9,566.71
7c78983f-c70d-46e3-bcbb-981def9f99bb,0xc5efc0fed2a350fe0119d49ed38584e62f5f01e8,4,260.0,247.0,766.89
7cf9ca1c-da2f-42a6-8596-395467b2d858,0xa2c1614c35989d248fe0befc18ce23b2bd5f2757,3,525.0,498.75,223.22
7de022e2-e4fb-4119-8fc1-ead0890f8157,0x73ac8ffa7684c35984cc26dd276c855f69aedf2b,3,245.68,233.396,167.94
853c066d-d471-4ddf-897e-5002891588a1,0xfe96d1ed2a4c9e60e0e3030609af0361a515169e,39,5234.23,4972.518499999999,1154.27
86b53f2b-38f2-461f-89a7-00c7ded67a77,0x08e0097298ac59890cab1b62487d4803f06db284,28,2711.59,2576.0105,1023.27
87a1f531-7578-4b67-b9d4-4206e64a8d9d,0x1e52ef3210359b9c3b4a25ef3966bf4dc0525a12,7,552.24,524.628,370.85
8f8877da-cf7b-40c1-b8b5-23e7caedd610,0x172614c887043c0fe501a3101b676514cb4be0ff,21,2980.51,2831.4845000000005,471.45
9069227c-46db-4b71-bd11-47d90d4674ed,0xeaff0954ee17fb8d86f736e271ad3d68861d4ddd,2,178.64,169.70799999999997,64.32
94681e9a-6696-4987-a556-d51939cd020b,0xe52a646705828cffb44f08cc38f49718de6d763e,3,467.07,443.7165,0.0
94f43800-8c8e-480c-9c41-a9c39a44091b,0xaa01dec5307cf17f20881a3286dcaa062578cea7,1,60.66,57.626999999999995,40.72
987d8d02-b537-41a9-a3dd-c377ab8b7b73,0xa0d1ed1ce8da6fc4efc77c896b56e993fcd92d23,2,200.0,190.0,97.114079556
98c20db1-396c-4c37-9062-0323d3bf1d46,0x20c765072fb8255d05432e379fa6fb67e880bc47,5,495.3,470.535,156.44
9ae1de6e-dd51-4a74-9d2e-02bd4e592a09,0x5cdba7aca671e6f8f32f052ac7323e71be867590,33,3047.19,2894.8305,1523.28
9fd57c93-0255-45a4-8892-50b9503334b6,0x5cedfa6814fd2a7d35fc4d96f73941cbf2c1d138,99,17725.52,16839.244,3647.72
a03ed13f-9cc6-4943-8f01-3a5d274e2812,0x62293e6c6b80e710901c85a1e461907f7a870a82,6,1000.0,950.0,493.86
a195138a-8cc3-41a2-b3ef-3de2f5945ace,0x383abe30b20665e6bf9b30dc9db81f62752168b3,10,992.67,943.0365,387.77
a1f17ee0-4273-400b-9a8c-dcfbe01c802c,0xeafc4281547d1ba7c41e4f7a667756a7adbe4c00,2,199.31,189.3445,110.9
a3c91fcb-89e2-489b-9af2-7ce3ba751762,0x19df2ee790706bbdfca6eab8963c07c4b87070ac,40,3090.28,2935.766,3496.05
a638c6e1-1ec0-4f2a-9aa9-2f14fa091ad5,0xb417405b5f8b5cca328b2e5ea49c708a2cd4bd2a,25,2390.28,2270.766,563.65
a8218889-6947-4109-a4fc-b5ed9266a4fb,0x65cde86f17e77f5ad11f1216db1944a2722a7911,5,460.0,436.99999999999994,172.19
ae69b93d-e059-4658-b01d-e175b3f828a9,0xeefb745e597f887d6d1cf4e474134c6e71c06fb9,10,830.19,788.6804999999999,549.47
aeedfba0-f67d-462f-9467-f1316aefa0b8,0xf602dbb4a756e13ae191d577c8ec63d3b1a9bd95,5,479.6,455.62,106.97
bde1f628-2bb6-4f15-97b8-3b57448616d5,0x19eb66b76153baacc77771952be11aa870a02794,15,1202.0,1141.8999999999999,672.95
bec87923-837d-463a-82e1-bb481d82559f,0x490362b1b8ed702df942c0512a82b87c9de54be2,50,6130.67,5824.1365,1694.61935767
c00dfb97-3ed2-484a-b0ec-bf7532e4b0e8,0x138646bdb2ed269bb8b399d491874dfd8a70d3dc,1,81.94,77.843,43.56
c049e13b-19d6-4a19-8a29-8f911a771e96,0x4b4bfa4cac2db875bfa1e1bf0172edd8465e32ca,17,1691.27,1606.7065,610.946759012
c40886e3-eef6-49ef-88d3-f61873e26451,0x3d0c6bb629e63226ea14bfe2997b32dcec71b0ca,2,198.3,188.38500000000002,57.77
c514fc65-e7d1-4da8-a8fb-69ddabd56b0e,0x10147df9e046ba25b86c83cdf56d0920e80fe726,1,67.05,63.6975,0.0
c8ace18a-d952-42f4-be21-2e125f74bfba,0x51b3dd026e3837352d7a0efb431c62c1862d0d4d,101,8266.71999999999,7853.383999999991,6496.27
ca781841-376e-4e52-be15-f75e0ef5375f,0x3a98141fac8b5aeb53c21faf22172bb3c43acc21,22,2190.64,2081.1079999999997,918.58
cc22a151-f69f-4cee-95e6-4efc416e1296,0x9b9d62197c5c3af9e7358d7770e09d90b6f8e0d0,82,8545.29411110999,8118.029405554491,3710.1
cc95102f-1a25-4ebc-917c-c1a1bcc785c3,0x02b4c320380b4b87c963c3ad5c0d8c7e11e05d6b,5,1000.0,950.0,289.669281708
cea5c1de-86f6-4fc5-a3d9-5fda113d88c2,0xca717747621729c31e7385577fa1620c99c56992,5,559.24,531.278,341.88
cf766c1b-1e12-4025-a4bd-a869a99548d8,0xeecff26f15871949b51769a282e48f382db06bc6,8,891.3,846.735,357.19
d1202e4d-efb8-446c-8171-a6ba2c89f7a3,0xc5b41fb105883bcd59ceef072b5b6bdbc5df31da,2,198.14,188.23299999999998,71.63
